Features,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10
C14orf102,-0.5146,0.4375,-0.0808,-0.8421,0.0104,-1.0617,0.8437,-0.4187,-0.6245,-1.3342
AA885282,-0.332,-0.2988,1.3392,-1.296,0.7222,0.3622,-1.2658,-2.1588,0.7816,-0.3563
GLT8D2,-0.5551,0.8434,1.1646,1.0782,2.3546,-1.1896,0.6767,-1.186,-0.4419,-0.2076
AW516315,-0.4764,1.5542,-0.6983,-1.7314,0.7563,-0.4085,1.0432,0.5002,-0.0942,-2.2037
IGM1,0.9513,0.0125,-0.7655,-0.4718,-0.5144,-0.3428,-0.9773,1.5471,0.7763,0.1582
EFCAB4A,1.5976,-0.2248,-1.0206,0.5793,0.9089,0.7746,-0.3861,-0.2195,-0.5516,0.7409
REEP3,0.5269,0.4968,0.775,0.3805,1.1135,1.9104,-1.3861,1.8407,1.0493,1.0036
ECI2,-1.6581,-1.2095,-0.3639,1.5505,1.1933,0.8071,-0.5558,0.7236,-0.9158,-0.068
BTBD3,0.5292,-0.849,-0.9283,-0.7371,0.3787,-0.5538,0.7752,0.8437,0.6475,0.37
AI808614,0.5521,0.4137,0.6915,-2.0418,-2.0654,0.0279,-0.9548,1.9145,-0.618,0.1309
RBM17,-1.1184,-1.8204,0.1481,-0.026,0.2149,-0.9025,1.787,0.4203,2.7067,-0.3564
LOC339524,-0.3328,0.7895,0.1959,-1.1163,-0.2942,-0.6976,0.8189,-2.4071,0.6649,0.7995
TRNAU1AP,1.3417,-0.0096,1.907,0.1939,0.539,0.2855,1.628,1.5944,0.5977,0.8328
IL21R,-0.9778,-0.5603,-0.8129,-0.3211,-0.5826,-0.8852,-0.906,-0.9829,-0.7561,-0.8702
AK094525,-0.9169,-1.389,-0.0673,-0.9348,0.1159,0.7432,0.9749,-0.302,-1.1192,1.3244
RASSF4,-0.9092,-0.3566,-0.6264,-0.8483,-0.7757,-1.4055,-1.1592,-0.8868,-0.3526,-0.4099
BM676998,-0.1393,-1.6784,-0.1506,0.9658,-0.3645,-0.3227,-0.4866,2.414,-0.4095,-0.5628
PLXNB2,1.0228,0.5345,0.7009,-1.1482,0.1202,0.0415,-0.1291,-1.8192,0.3043,-0.2136
OR8H2,-0.3923,-0.9545,-2.3511,2.0433,-1.1268,-1.6311,-1.572,-0.2532,-0.7804,0.8398
ANTXR2,-1.1645,0.0151,0.36,0.2233,1.3091,-0.8815,1.0046,-0.5583,-0.6777,0.1313
GALK2,2.3117,1.4452,0.3709,-0.2906,0.4864,0.5737,0.6357,-0.4896,1.3295,1.7057
BX100078,0.84,1.2473,-0.5784,-0.9933,0.3423,-0.0711,0.5416,0.0144,-1.2694,0.1153
FAM90A13,-0.624,-0.1198,-1.4467,-0.3026,0.9988,0.1661,-2.2021,-0.4855,0.8288,-1.1678
C17orf37,2.6418,-0.5112,-0.0824,-0.3017,-0.8095,-0.1068,-0.3781,0.8864,-0.7731,-0.4334
TMEM59,-1.221,-0.6182,1.1529,0.4847,-0.2703,1.3485,0.8791,0.2877,-1.1341,1.0811
BCAN,1.0661,0.0699,-0.3908,0.0733,0.3798,0.719,0.1697,2.5664,-0.8487,-0.7549
TXNDC11,-0.6122,1.1131,0.3254,-0.3979,-1.1362,0.6813,-0.4895,-0.3828,-0.4355,-0.4383
DOCK2,-0.8802,0.2753,0.0616,-0.3778,-0.7197,-1.0164,-0.448,0.2058,0.4833,0.0206
ARFIP1,0.4945,-0.0273,-0.7146,1.546,1.3717,1.463,-0.0294,1.7453,0.3072,0.3308
LARGE,0.5988,0.5337,0.6569,1.607,0.4213,-1.1329,-0.9279,0.6616,-0.3619,-0.1132
BE265648,0.6466,0.2304,-0.9088,-1.6013,0.7729,0.3376,0.188,-2.3017,0.5896,-0.8163
PDXDC2P,-1.5425,-0.7814,0.2127,-0.2917,-0.3395,0.3432,-1.1691,-0.4742,-1.0042,-1.4091
RBMY1F,0.2428,-0.6829,-0.1233,0.1224,-0.7168,-0.4944,0.257,-0.1045,0.4091,0.889
SLITRK3,-0.8578,-1.481,0.8333,-0.8139,-0.0062,0.5916,-2.014,0.1343,0.1235,-0.3611
ACMSD,-0.21,-0.2666,-0.0874,-0.2253,0.8279,3.4374,-0.0322,-0.4578,-0.5411,0.4596
KRT8,1.7584,0.4161,0.091,0.6636,-0.5308,-0.5779,-0.8685,1.91,-0.172,-1.0706
HIST2H2BF,1.8227,1.1686,-0.2587,-0.3664,0.22,3.2762,-0.1786,-0.3355,-0.5841,0.5065
AW299747,0.5383,-0.256,1.7623,-0.1132,-0.0961,-1.3161,0.3387,-0.8375,-1.4737,0.5779
ADAMTS6,-0.8825,0.4663,0.3812,0.4286,0.7759,-0.7601,-1.1229,1.1249,-0.5739,0.7917
CREB3L2,-0.9387,0.5073,1.1842,-0.9785,0.5509,-2.0001,0.162,-1.6035,-1.0315,0.1791
PANX3,0.8696,0.2814,0.4673,-2.5679,-0.8034,-0.3839,0.6367,-0.6699,0.3849,0.2046
STATH,-0.4816,0.1847,0.2791,-0.0985,-0.8986,-0.1905,2.2933,-0.2286,0.4098,0.1705
C6orf155,0.0286,-0.6967,0.718,-0.2358,-0.0408,0.0503,-0.2325,-1.2509,-0.401,1.2411
HERC2P7,1.3704,0.8412,-0.0354,0.2762,0.9355,2.1878,-1.021,0.3672,-1.0309,-0.3603
CD52,-0.8356,-0.5512,-1.2315,-0.4918,-1.0666,-1.2587,0.5975,0.2644,0.7025,0.2372
SLC6A17,-0.3617,0.195,-0.2121,-0.3197,0.2145,0.3906,0.1329,0.0898,-0.1579,-0.4025
ARPC5,-1.283,-0.7059,-1.1234,-0.689,1.4961,-0.1574,-0.3571,0.077,0.3679,-1.0732
GABRA2,-1.3341,0.1119,-0.0533,0.0458,0.2159,0.1969,-0.8291,0.4623,-0.2822,0.1262
BM665543,1.0956,0.227,1.1528,-1.5874,0.2213,0.3802,1.3059,-0.2457,-1.4588,0.3697
YIPF1,-1.7192,1.8168,1.1187,2.0977,1.1631,1.4499,-0.5668,-0.1693,-1.3102,-0.0154
ZNF385A,0.1448,-0.364,0.8272,0.3785,-0.498,0.2833,-1.6712,1.7782,-1.0309,1.0738
F11,0.8749,-1.6533,-0.5026,-0.1567,0.3291,-0.2215,-1.6271,-0.7114,-0.1207,-1.1705
BM313460,-1.121,-1.3696,-0.874,-1.4688,3.0137,-0.9931,0.3175,0.1136,-0.4314,1.0611
DHX35,2.4002,-0.1681,-0.5965,0.3588,-0.6387,-0.9661,0.48,1.3633,0.2588,-0.1145
FUBP1,-1.0406,-1.6963,0.996,-0.6264,0.2068,-0.2623,1.0788,0.808,0.4081,0.1205
AA084299,-0.8694,1.3156,-0.5788,-0.5477,0.5529,-0.7341,-0.8771,-0.8637,1.7301,-1.5578
AI205959,0.3429,-1.0468,-0.6058,0.7134,-0.3501,-1.0992,-0.9127,-1.1542,0.4943,1.0461
HIST1H1T,-1.0739,0.4104,-1.0443,0.1803,1.3762,-0.0072,0.7211,-1.246,-1.492,-0.6741
BX119689,-0.435,-0.6144,0.597,0.0001,-0.4911,0.091,-0.2158,1.3584,-0.7904,-0.6637
SLC7A1,-0.3385,-0.0876,-0.536,-0.9802,-0.6152,-0.8394,-0.7717,-2.374,-0.1356,-0.8668
PRDM4,-0.4811,-1.9378,-0.4555,-0.145,-0.5988,-1.6058,-0.5353,0.4354,-0.5544,-1.0149
LILRB1,0.0609,0.1655,-0.1503,0.1204,-0.5968,-0.3968,-0.6164,1.0063,-0.4635,-0.4086
KIAA1109,-0.9922,0.044,0.6705,-0.5843,-0.103,0.4616,-0.6895,0.1666,0.4002,-2.9232
AW205955,0.8755,-1.0701,1.4918,-1.7707,-2.34,0.4081,0.2888,-3.3316,0.6872,-0.5287
CR743578,-0.558,-0.6647,0.9378,-0.4386,0.5153,-0.4485,-0.3694,0.2925,-0.04,0.486
BC038747,0.2793,-0.421,0.0856,-0.3382,-0.8316,0.2188,-0.4797,1.9899,-1.1245,-0.7732
LOC142937,-0.7641,-0.8494,0.4723,-0.1879,-0.0766,0.0955,0.0476,-0.3672,0.9865,0.4007
EPCAM,-0.1843,1.301,0.4369,-0.0805,0.3905,0.6439,-0.2078,0.1503,-0.3308,-0.2997
11-Sep,-1.776,0.277,0.4364,0.6646,1.5834,-1.2218,-0.8376,-0.489,-0.8639,-1.5061
MCOLN3,-0.1205,-0.0771,-1.2949,-0.599,-0.5698,-0.4307,-0.2311,1.8838,-0.7874,-0.7161
HAUS3,-1.1124,-0.8216,-0.0582,0.4334,-0.7274,0.1666,-0.742,-1.416,-0.0115,0.6664
AA830448,-1.2048,0.8906,-0.5501,1.4247,-0.4703,-1.0273,0.5764,1.2491,-0.9576,1.2121
AX747287,0.085,0.2812,-0.1654,0.1646,-0.5716,-1.3914,-0.6419,-1.5348,0.0579,-1.0144
MEIS2,-0.5133,-0.8922,0.1369,0.065,1.3669,-1.3498,2.6309,-1.0991,-0.6222,0.1086
MKI67,0.189,0.7503,-1.4218,-0.9428,-0.0032,-0.331,-1.1712,0.0608,0.4359,-0.6462
CD518619,-0.7953,1.269,-0.799,-0.0108,-0.304,-0.4811,1.034,0.188,-0.1958,-0.2713
BG760841,-0.1917,-1.1133,0.3602,-0.6544,-0.1066,0.3318,0.0867,0.323,-0.7123,0.042
CISD1,0.7914,0.1896,-1.1942,0.705,1.5962,-0.5511,0.2472,0.7129,0.932,-0.7141
LOC100500938,-1.3534,0.2157,1.263,0.073,-0.516,1.3813,0.3479,0.0711,-0.3058,-0.2638
ZNF692,0.6301,-0.1622,-0.1429,-1.0672,0.2777,0.9424,0.5193,-0.3452,0.7232,0.0552
AL359560,-0.9712,-0.5849,-0.3338,-1.196,-0.6676,-1.2385,-0.872,-1.5621,-0.5615,-1.1488
RIPPLY2,-0.4712,-0.1559,-0.7022,-0.4772,-0.9042,-0.8777,0.2874,-0.7552,-0.074,-0.2327
AF092437,-0.0246,-3.2896,0.4261,-1.276,0.496,0.2765,-0.437,-0.6441,0.6343,-0.105
CEBPB,1.0822,1.1335,-0.4612,-0.4995,-1.2458,-0.502,-0.0831,0.0796,0.4385,-0.5519
MEFV,-0.7552,1.1047,-0.9573,0.2463,-1.2938,1.48,0.4027,0.3446,0.5237,-1.4362
MRPL36,-0.0858,1.0766,0.0783,-0.5894,-0.0962,-0.609,0.2203,1.3564,0.0251,0.0012
GRASP,-1.4224,0.2282,0.4311,-0.2216,-0.1877,-0.4789,0.8199,-0.3227,0.8749,0.018
TBC1D19,-1.3575,-0.7196,-0.5628,1.4217,2.3715,1.0846,0.5153,0.0757,1.0184,1.2461
HIC1,-0.8094,0.8848,0.4832,-0.4629,0.3864,-0.9273,1.6311,0.4405,-0.328,1.3202
AL512751,-0.9112,0.9131,-0.0606,0.7193,-0.0794,0.6462,-0.6237,0.4179,-0.6769,0.2832
RNF13,0.8763,-0.6587,0.4241,0.4076,1.3163,2.2839,1.4302,1.7843,0.5437,0.9263
SCLY,-0.0633,1.0709,-0.6791,1.0826,-0.2243,-0.908,-2.4272,-0.2142,0.8461,-1.0596
BRF2,0.6281,0.6958,-0.0331,-0.3919,-0.0402,-0.0144,-0.0667,0.3046,0.6011,-0.1826
MASTL,0.8063,-0.0624,0.6589,-0.3645,0.1706,-0.4224,-0.979,-0.404,1.6829,-0.1119
C2orf53,-0.6,0.2409,-0.0951,0.2542,-0.701,-0.8942,1.4971,0.2314,-0.1398,-0.7146
LOC100130238,1.2192,-0.0269,-0.1436,-0.1414,0.5994,0.6088,-0.6888,0.1114,-0.5598,-0.0162
CLDN3,-0.0579,0.834,0.3581,0.5843,-1.3153,-0.7037,-0.7657,-0.2258,1.2686,-0.9447
HDAC3,1.2365,0.204,0.3151,0.4329,-0.1385,0.1092,0.2286,1.1922,0.2345,0.4854
LYZL4,1.1274,1.401,0.2231,0.0784,-0.3708,-0.8451,-0.333,0.8328,-0.5978,0.4884
BIRC6,-1.6374,-0.601,-1.2369,0.8516,-0.8027,-1.5755,0.2157,1.4266,-0.6628,-0.8337
ZNF700,-0.222,-1.4849,-0.4352,-0.089,-0.3048,-0.2941,0.1136,-1.4026,0.8784,-0.4205
TDRD12,0.2822,-1.5485,-1.1154,0.309,-0.3114,0.1083,0.0811,1.1953,0.2601,-0.1851
C1orf194,-1.4009,0.0589,-0.0968,0.1043,2.2963,-0.5197,-0.5868,-0.2946,0.3687,0.408
SLC14A2,0.0224,-0.4371,-0.632,3.3272,-0.7557,-0.8018,0.5276,-0.0175,1.3558,0.6564
MUC3B,0.7037,1.0486,-0.0929,-0.2823,-1.6652,0.2869,0.2014,0.0403,-0.2048,0.8232
SIX4,0.0175,-0.7216,-0.263,-0.2591,0.4056,-0.3194,-0.8481,-0.1907,1.1665,-1.7809
ZNF613,-0.43,0.4577,-1.0089,1.5789,0.0594,-0.577,-0.4593,-1.7298,-0.4442,0.7461
PSME4,-1.509,3.0087,-0.9249,-0.7664,-1.2919,-1.3685,-1.0513,-1.1026,-1.0237,0.4257
BSG,1.0361,1.1016,0.3646,0.5454,-0.5933,0.5957,-0.6079,-0.9759,-0.2213,-0.0521
CR740913,-0.4727,-0.5316,-0.8023,0.12,-1.5582,1.8757,-0.8174,-0.2914,0.2792,-0.6444
HINT3,4.8122,1.8563,0.8973,0.5622,0.9453,0.4872,0.0937,-0.5918,2.9556,2.3057
AK126330,1.5272,-0.6256,0.1993,0.5762,-1.2496,0.8756,-2.223,1.1378,0.3925,0.6258
COMMD5,1.0633,1.4033,-0.2718,0.2794,-0.4597,-0.938,-1.2267,0.091,1.0329,-0.982
TEAD3,0.433,-0.1695,0.9059,-0.2075,1.1226,-0.7069,-1.7034,-0.3078,-1.5861,0.7954
OR2G3,-1.288,-0.8697,0.8442,0.5998,-0.0768,-1.7898,-0.2934,-1.1824,0.2829,0.4755
LOC400236,-1.1149,-1.0298,0.636,-0.5683,0.2776,-1.7744,-3.2558,-1.0854,0.8312,-0.8905
REP15,-1.1848,0.4993,0.6169,-0.3673,1.2792,-0.8379,0.1482,-0.708,-1.2078,-0.7796
BM662626,2.2306,-0.6123,-0.6057,-0.0324,-0.9337,-0.8406,-1.308,0.5278,0.3472,-0.218
CDH16,0.7793,0.2717,-0.7795,-0.0683,0.2396,-1.234,0.1574,0.7081,-0.7302,-0.861
BC040862,0.7753,-0.1757,-0.9837,-0.5789,-0.7694,1.6533,-0.3426,0.5228,-1.2078,-1.4171
BX340435,-0.0657,-0.2464,2.7514,-0.9485,0.9706,-0.9083,0.9675,-1.034,-0.5179,-0.0709
TMEM65,0.4027,-0.0796,0.6232,0.5205,1.1924,-1.8098,-1.7635,-1.547,1.5698,-1.5898
BX105767,-0.7223,-2.2225,0.27,1.4959,1.2936,0.5651,-0.5572,0.3173,-1.4574,-1.1966
BC039382,0.7491,-0.1425,-0.1503,-0.1301,-0.5176,0.3629,0.3954,-0.7818,-0.6565,-0.3327
FOXP4,-0.5071,-0.6065,0.4603,-0.3176,-0.6221,1.1528,-0.1207,-0.4258,-0.7231,-1.2593
BQ186063,2.9372,-0.4842,-0.3148,0.2011,-0.179,0.0233,0.9028,0.7265,0.378,-0.8171
VN1R1,-0.8193,-0.8586,-0.472,-0.0509,1.125,0.1671,1.929,0.9145,1.9717,-1.5662
OR4D9,0.0074,-1.8215,-0.6612,-1.2772,0.4338,0.493,0.699,-0.7074,0.122,1.5237
HCFC1R1,-1.4723,-0.5415,0.6237,-0.3429,0.014,-0.6402,-1.6879,-1.0104,-1.3462,-1.904
TEKT5,-0.1235,0.3724,0.7153,0.8576,-1.0266,0.3916,1.1563,-0.4986,-2.1607,-1.2017
AW516124,-0.4661,0.7094,0.3343,-0.5811,0.1445,0.7619,0.9316,-0.6495,-0.5919,-0.4142
BC038725,-0.1075,0.4353,-0.2643,-0.1412,-1.1425,0.0473,-0.2032,1.3835,1.1265,-1.3713
DNAJC9,0.7892,0.1574,-0.8337,-0.2258,-0.2805,-0.9962,-0.2459,1.0346,4.259,-0.207
FHOD1,1.431,1.5103,-0.4578,-0.7945,-0.2989,-0.5357,-1.1778,-0.8326,-1.4306,-1.2831
AI216295,0.195,-1.7922,-0.7144,1.4434,-0.5035,-1.1221,0.1348,1.4982,0.7761,-1.7409
CMTM5,0.0073,-1.0538,0.783,-1.0132,-0.16,1.7413,-0.0308,0.1635,-0.812,-1.3371
LINC00229,-0.5071,-0.117,2.0776,0.7544,0.0198,0.875,0.8129,0.4139,-1.5209,1.495
BM931785,0.1875,0.06,0.3731,-0.1395,-1.1288,0.2568,-1.2652,2.0735,-0.1778,-0.3077
LOC400238,-0.1765,0.2999,-1.8417,1.0031,0.1717,-0.3531,-0.5868,-1.0314,1.6906,0.6105
GPR128,0.7452,0.2557,-0.0953,-0.3693,-0.1883,-0.2275,-0.4335,-0.0063,-0.0766,-0.0691
BC043520,0.9614,-0.4715,-0.944,-2.0602,-0.4279,-1.3164,-1.7075,0.3447,-0.1387,-2.9323
ANO2,-0.2951,-0.2174,0.7136,-0.3731,-0.0749,-0.448,-0.0596,-0.6311,-0.0256,-0.2708
BX118161,-0.1947,-0.0641,-0.7569,0.3283,-0.9218,1.1478,1.4376,0.7797,-0.7462,-1.5195
DARC,-0.5434,-1.075,-1.2341,-1.1576,-1.1109,-0.7323,1.6994,-0.7725,0.6719,0.499
ZNF318,-1.6105,-1.0653,-0.6575,0.3004,-0.8981,-0.578,-0.5332,0.209,0.2015,-1.0077
RAB25,1.3624,0.504,0.1154,0.4131,1.2148,1.394,0.1165,-0.308,0.1498,0.3606
FAM83B,1.8906,2.3969,0.8658,0.4544,0.3304,-1.1551,-0.3687,0.1491,0.6572,0.3623
LRRC8C,-0.873,-0.7531,-0.785,-0.3559,-0.1397,-0.6918,-0.0784,-0.5413,-0.2252,0.417
ZFP62,0.5663,0.1255,0.335,0.9368,0.9546,-0.1682,0.7611,0.684,-0.5051,-0.366
GAGE8,-0.2415,-0.0745,-0.3474,-0.3492,-0.2574,-0.3775,-0.2792,-0.0514,-0.3249,-0.2652
